Title,Year,titleyear,AvgRating,MinAge,SuggestedPlayers,solo,two_player,log_playtime,AvgWeight
Letters from Whitechapel,2011,Letters from Whitechapel (2011),7.49069,13,2,FALSE,FALSE,4.787491742782046,2.6946
Mice and Mystics,2012,Mice and Mystics (2012),7.48007,7,4,TRUE,FALSE,4.787491742782046,2.6312
Clash of Cultures,2012,Clash of Cultures (2012),7.70057,14,4,FALSE,FALSE,5.480638923341991,3.5654
Bruges,2013,Bruges (2013),7.49312,10,3,FALSE,FALSE,4.0943445622221,2.7447
Ghost Stories,2008,Ghost Stories (2008),7.38928,12,4,TRUE,FALSE,4.0943445622221,2.8966
Mission: Red Planet (Second Edition),2015,Mission: Red Planet (Second Edition) (2015),7.66902,14,4,FALSE,FALSE,4.499809670330265,2.2333
Endeavor,2009,Endeavor (2009),7.45668,12,5,FALSE,FALSE,4.499809670330265,2.9056
Advanced Squad Leader,1985,Advanced Squad Leader (1985),7.93029,14,2,FALSE,TRUE,6.173786103901937,4.69
Merchants & Marauders,2010,Merchants & Marauders (2010),7.45308,13,4,FALSE,FALSE,5.19295685089021,3.208
Codenames: Pictures,2016,Codenames: Pictures (2016),7.61556,10,6,FALSE,FALSE,2.995732273553991,1.45
Love Letter,2012,Love Letter (2012),7.32117,10,4,FALSE,FALSE,2.995732273553991,1.2083
The Manhattan Project,2012,The Manhattan Project (2012),7.4906,13,4,FALSE,FALSE,4.787491742782046,2.9677
Risk Legacy,2011,Risk Legacy (2011),7.57891,13,5,FALSE,FALSE,4.0943445622221,2.6073
Xia: Legends of a Drift System,2014,Xia: Legends of a Drift System (2014),7.81742,12,3,FALSE,FALSE,5.19295685089021,3.1101
Hive,2001,Hive (2001),7.34082,9,2,FALSE,TRUE,2.995732273553991,2.3418
Sushi Go Party!,2016,Sushi Go Party! (2016),7.74943,8,4,FALSE,FALSE,2.995732273553991,1.2941
Takenoko,2011,Takenoko (2011),7.35172,8,3,FALSE,FALSE,3.8066624897703196,1.979
Neuroshima Hex!,2006,Neuroshima Hex! (2006),7.4508,13,2,TRUE,FALSE,3.4011973816621555,2.6039
Notre Dame,2007,Notre Dame (2007),7.39579,10,3,FALSE,FALSE,4.31748811353631,2.7629
Space Hulk (third edition),2009,Space Hulk (third edition) (2009),7.56397,12,2,FALSE,TRUE,4.0943445622221,2.7876
King of Tokyo,2011,King of Tokyo (2011),7.30928,8,4,FALSE,FALSE,3.4011973816621555,1.5121
Dune,1979,Dune (1979),7.61105,12,6,FALSE,FALSE,5.19295685089021,3.4334
Acquire,1964,Acquire (1964),7.35841,12,4,FALSE,FALSE,4.499809670330265,2.5096
In the Year of the Dragon,2007,In the Year of the Dragon (2007),7.41378,12,4,FALSE,FALSE,4.605170185988092,3.1302
Civilization,1980,Civilization (1980),7.52401,12,7,FALSE,FALSE,5.886104031450156,3.6667
Glass Road,2013,Glass Road (2013),7.49618,13,2,TRUE,FALSE,4.31748811353631,2.9681
Sheriff of Nottingham,2014,Sheriff of Nottingham (2014),7.35354,13,5,FALSE,FALSE,4.0943445622221,1.679
Rococo,2013,Rococo (2013),7.57617,12,3,FALSE,FALSE,4.787491742782046,3.1077
Tikal,1999,Tikal (1999),7.34414,13,4,FALSE,FALSE,4.499809670330265,2.8344
Kanban: Automotive Revolution,2014,Kanban: Automotive Revolution (2014),7.79005,12,4,FALSE,FALSE,4.787491742782046,4.2838
Dead of Winter: The Long Night,2016,Dead of Winter: The Long Night (2016),8.15555,14,4,FALSE,FALSE,4.787491742782046,3.4848
Trickerion: Legends of Illusion,2015,Trickerion: Legends of Illusion (2015),7.86049,14,4,FALSE,FALSE,4.787491742782046,4.0047
Saint Petersburg,2004,Saint Petersburg (2004),7.33537,10,4,FALSE,FALSE,4.0943445622221,2.472
Indonesia,2005,Indonesia (2005),7.76441,14,4,FALSE,FALSE,5.480638923341991,3.9943
San Juan,2004,San Juan (2004),7.29694,10,3,FALSE,FALSE,4.0943445622221,2.2922
Telestrations,2009,Telestrations (2009),7.44012,12,8,FALSE,FALSE,3.4011973816621555,1.1081
Arkham Horror,2005,Arkham Horror (2005),7.35396,12,4,TRUE,FALSE,5.480638923341991,3.545
One Night Ultimate Werewolf,2014,One Night Ultimate Werewolf (2014),7.37171,8,6,FALSE,FALSE,2.302585092994046,1.407
A Few Acres of Snow,2011,A Few Acres of Snow (2011),7.44511,14,2,FALSE,TRUE,4.787491742782046,3.032
Ticket to Ride: Märklin,2006,Ticket to Ride: Märklin (2006),7.4134,8,4,FALSE,FALSE,4.0943445622221,2.2391
Deception: Murder in Hong Kong,2014,Deception: Murder in Hong Kong (2014),7.57723,14,7,FALSE,FALSE,2.995732273553991,1.6306
Survive: Escape from Atlantis!,1982,Survive: Escape from Atlantis! (1982),7.32968,8,4,FALSE,FALSE,4.0943445622221,1.7112
The Pillars of the Earth,2006,The Pillars of the Earth (2006),7.31898,12,4,FALSE,FALSE,4.787491742782046,2.8358
Macao,2009,Macao (2009),7.4439,12,3,FALSE,FALSE,4.605170185988092,3.1336
Champions of Midgard,2015,Champions of Midgard (2015),7.69594,10,4,FALSE,FALSE,4.499809670330265,2.4865
Earth Reborn,2010,Earth Reborn (2010),7.77626,13,2,FALSE,FALSE,5.19295685089021,3.8635
Blood Bowl: Team Manager – The Card Game,2011,Blood Bowl: Team Manager – The Card Game (2011),7.38797,14,4,FALSE,FALSE,4.499809670330265,2.3243
Maria,2009,Maria (2009),7.97755,14,3,FALSE,FALSE,5.3471075307174685,3.505
BattleLore,2006,BattleLore (2006),7.40444,10,2,FALSE,TRUE,4.0943445622221,2.7618
At the Gates of Loyang,2009,At the Gates of Loyang (2009),7.38774,10,2,TRUE,FALSE,4.787491742782046,3.1471
Mansions of Madness,2011,Mansions of Madness (2011),7.3976,13,5,FALSE,FALSE,4.787491742782046,3.2395
Antiquity,2004,Antiquity (2004),7.83363,14,3,FALSE,FALSE,5.19295685089021,4.2921
Roads & Boats,1999,Roads & Boats (1999),7.76266,14,2,TRUE,FALSE,5.480638923341991,4.195
Lancaster,2011,Lancaster (2011),7.48535,10,4,FALSE,FALSE,4.0943445622221,2.989
Quadropolis,2016,Quadropolis (2016),7.49594,8,4,FALSE,FALSE,4.0943445622221,2.2301
Blood Bowl (Third Edition),1994,Blood Bowl (Third Edition) (1994),7.57148,12,2,FALSE,TRUE,5.19295685089021,2.9691
Lord of the Rings: The Confrontation,2005,Lord of the Rings: The Confrontation (2005),7.5123,14,2,FALSE,TRUE,3.4011973816621555,2.1976
Fresco,2010,Fresco (2010),7.3377,10,4,FALSE,FALSE,4.0943445622221,2.6357
Sentinels of the Multiverse,2011,Sentinels of the Multiverse (2011),7.35824,8,4,TRUE,FALSE,4.0943445622221,2.5016
1775: Rebellion,2013,1775: Rebellion (2013),7.82947,10,4,FALSE,FALSE,4.787491742782046,2.2938
Forbidden Desert,2013,Forbidden Desert (2013),7.29028,10,4,FALSE,FALSE,3.8066624897703196,2.043
Modern Art,1992,Modern Art (1992),7.30161,10,5,FALSE,FALSE,3.8066624897703196,2.3236
London,2010,London (2010),7.41781,13,3,FALSE,FALSE,4.499809670330265,2.8814
Glen More,2010,Glen More (2010),7.36162,10,4,FALSE,FALSE,4.248495242049359,2.6724
Pandemic Iberia,2016,Pandemic Iberia (2016),8.24664,8,4,FALSE,FALSE,3.8066624897703196,2.6667
Hive Pocket,2010,Hive Pocket (2010),7.67551,9,2,FALSE,TRUE,2.995732273553991,2.3944
Amun-Re,2003,Amun-Re (2003),7.36613,12,5,FALSE,FALSE,4.499809670330265,3.0718
Flash Point: Fire Rescue,2011,Flash Point: Fire Rescue (2011),7.281,10,4,TRUE,FALSE,3.8066624897703196,2.2064
Descent: Journeys in the Dark,2005,Descent: Journeys in the Dark (2005),7.35039,12,5,FALSE,FALSE,5.480638923341991,3.3382
Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,2013,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set (2013),7.36109,13,4,TRUE,FALSE,4.499809670330265,2.708
Hanabi,2010,Hanabi (2010),7.21964,8,4,FALSE,FALSE,3.2188758248682006,1.6963
Onitama,2014,Onitama (2014),7.65882,8,2,FALSE,TRUE,3.4011973816621555,1.7143
Pandemic: The Cure,2014,Pandemic: The Cure (2014),7.41407,8,3,FALSE,FALSE,3.4011973816621555,2.0649
Cthulhu Wars,2015,Cthulhu Wars (2015),8.03632,14,4,FALSE,FALSE,4.787491742782046,3.1111
Catan,1995,Catan (1995),7.26768,10,4,FALSE,FALSE,4.787491742782046,2.3609
Small World Underground,2011,Small World Underground (2011),7.37462,8,4,FALSE,FALSE,4.499809670330265,2.6025
A Game of Thrones: The Card Game (Second Edition),2015,A Game of Thrones: The Card Game (Second Edition) (2015),7.94114,14,2,FALSE,FALSE,4.787491742782046,3.439
Kingsburg,2007,Kingsburg (2007),7.24152,13,4,FALSE,FALSE,4.499809670330265,2.4316
Nippon,2015,Nippon (2015),7.83242,12,4,FALSE,FALSE,4.787491742782046,3.733
